Method,Site,Family,Species,Length,Number
UVC,825k,Pomacentridae,Pomacentrus coelestis,3,490
UVC,825k,Pomacentridae,Pomacentrus coelestis,6,60
UVC,825k,Pomacentridae,Abudefduf sexfasciatus,10,2
UVC,825k,Labridae,Hemigymnus melapterus,15,1
UVC,825k,Chaetodontidae,Chaetodon auripes,8,1
UVC,825k,Chaetodontidae,Chaetodon speculum,8,1
UVC,825k,Pomacentridae,Chromis notata,10,23
UVC,825k,Pomacentridae,Chromis weberi,10,6
UVC,825k,Labridae,Gomphosus varius,15,1
UVC,825k,Labridae,Halichoeres melanochir,8,2
UVC,825k,Labridae,Halichoeres melanochir,5,3
UVC,825k,Labridae,Halichoeres melanochir,15,1
UVC,825k,Labridae,Halichoeres melanochir,10,2
UVC,825k,Pomacentridae,Stegastes obreptus,10,23
UVC,825k,Labridae,Stethojulis terina,6,2
UVC,825k,Labridae,Stethojulis terina,12,4
UVC,825k,Labridae,Stethojulis terina,5,9
UVC,825k,Labridae,Stethojulis terina,2,4
UVC,825k,Labridae,Stethojulis terina,15,1
UVC,825k,Labridae,Thalassoma lunare,8,1
UVC,825k,Labridae,Thalassoma lunare,2,1
UVC,825k,Labridae,Thalassoma lutescens,10,2
UVC,825k,Labridae,Thalassoma lutescens,5,1
UVC,825k,Pomacentridae,Neopomacentrus cyanomos,8,1
UVC,825k,Pinguipedidae,Parapercis millepunctata,16,1
UVC,825k,Labridae,Macropharyngodon negrosensis,5,1
UVC,825k,Tetraodontidae,Arothron nigropunctatus,15,1
UVC,BC,Pomacentridae,Pomacentrus coelestis,6,630
UVC,BC,Pomacentridae,Pomacentrus coelestis,3,750
UVC,BC,Chaetodontidae,Chaetodon auripes,4,1
UVC,BC,Chaetodontidae,Chaetodon auripes,10,1
UVC,BC,Pomacentridae,Chromis notata,6,120
UVC,BC,Diodontidae,Diodon holocanthus,14,1
UVC,BC,Labridae,Gomphosus varius,10,2
UVC,BC,Labridae,Gomphosus varius,16,1
UVC,BC,Labridae,Halichoeres melanochir,15,3
UVC,BC,Labridae,Halichoeres melanochir,4,1
UVC,BC,Labridae,Halichoeres melanochir,8,4
UVC,BC,Labridae,Hemigymnus melapterus,15,2
UVC,BC,Labridae,Labroides dimidiatus,6,1
