Species,level
Ablabys taenianotus,B
Ablennes hians,P
Abudefduf bengalensis,BP
Abudefduf bengalensis/septemfasciatus,BP
Abudefduf lorenzi,BP
Abudefduf septemfasciatus,BP
Abudefduf sexfasciatus,BP
Abudefduf sexfasciatus/vaigiensis,BP
Abudefduf sordidus,BP
Abudefduf vaigiensis,BP
Abudefduf vaigiensis_B,BP
Acanthocybium solandri,P
Acanthopagrus latus,BP
Acanthopagrus schlegelii,BP
Acanthoplesiops psilogaster,B
Acanthurus dussumieri,BP
Acanthurus mata,BP
Acanthurus nigricauda,BP
Acanthurus nigrofuscus,BP
Acanthurus olivaceus,BP
Acanthurus xanthopterus,BP
Acropoma japonicum,BP
Alepes djedaba,BP
Alepes djedaba/kleinii,BP
Allomycterus pilatus,BP
Aluterus scriptus,BP
Amblygaster sirm,P
Amblygobius phalaena,B
Amphiprion clarkii,BP
Anampses caeruleopunctatus,BP
Anampses melanurus,BP
Andamia tetradactyla,B
Andamia tetradactylus,B
Apogon coccineus,BP
Apogon crassiceps,BP
Aprion virescens,BP
Arothron cf_nigropunctatus,BP
Arothron hispidus,BP
Arothron nigropunctatus,BP
Aspidontus taeniatus,BP
Asterropteryx semipunctata,B
Atherinomorus cf_lacunosus,BP
Atherinomorus forskalii,BP
Atherinomorus lacunosus,P
Atherinomorus pinguis,BP
Atherion elymus,P
Atrobucca nibe,BP
Atrosalarias holomelas,BP
Aulostomus chinensis,BP
Auxis rochei,P
Auxis thazard,P
Balistoides conspicillum,BP
Bathygobius cocosensis,B
Bathygobius fuscus,B
Bathygobius laddi,B
Bathygobius meggitti,B
Benthosema pterotum,BP
Blenniella bilitonensis,B
Bodianus dictynna,BP
Bodianus mesothorax,BP
Brachysomophis porphyreus,B
Branchiostegus japonicus,BP
Bregmaceros japonicus,BP
Brotula sp,BP
Caesio caerulaurea,BP
Callionymus planus,BP
Callogobius sclateri,B
Callogobius snelliusi,B
Cantherhines dumerilii,BP
Canthigaster rivulata,BP
Carangoides hedlandensis,BP
Carangoides orthogrammus,P
Caranx melampygus,P
Carcharhinus limbatus,BP
Centriscus scutatus,BP
Cephalopholis boenak,BP
Chaetodon adiergastos,BP
Chaetodon auriga,BP
Chaetodon auripes,BP
Chaetodon citrinellus,BP
Chaetodon kleinii,BP
Chaetodon lunula,BP
Chaetodon octofasciatus,BP
Chaetodon speculum,BP
Chaetodon trifascialis,BP
Chaetodon vagabundus,BP
Chaetodon wiebeli,BP
Chaetodontoplus septentrionalis,BP
Chanos chanos,P
Chaunax sp,B
Cheilinus chlorourus,BP
Cheilinus trilobatus,BP
Cheilio inermis,BP
Cheilodactylus quadricornis,BP
Cheilopogon sp,P
Chelonodon patoca,BP
Chlorophthalmus nigromarginatus,BP
Chlorurus japanensis,BP
Chlorurus sordidus,BP
Chlorurus sp,BP
Choerodon azurio,BP
Choerodon schoenleinii,BP
Chromis alpha,BP
Chromis cinerascens,BP
Chromis fumea,BP
Chromis lepidolepis,BP
Chromis margaritifer,BP
Chromis notata,BP
Chromis weberi,BP
Chromis xanthochira,BP
Chrysiptera unimaculata,BP
Cirrhilabrus cyanopleura,BP
Cirrhitichthys oxycephalus,B
Cirrhitus pinnulatus,B
Cirripectes sp,B
Coelorinchus formosanus,BP
Conger cinereus,B
Coradion altivelis,BP
Coradion altivelis/chrysozonus,BP
Coris aygula,BP
Coris dorsomacula,BP
Coris gaimard,BP
Coryphaena hippurus,P
Crenimugil pedaraki,BP
Cyclothone alba,BP
Cynoglossus robustus,B
Cyprinocirrhites polyactis,B
Cyprinus carpio,BP
Cypselurus sp.1,P
Cypselurus sp.2,P
Cypselurus sp_1,P
Cypselurus sp_2,P
Dascyllus reticulatus,BP
Dascyllus trimaculatus,BP
Decapterus macarellus,P
Decapterus macrosoma,P
Decapterus maruadsi,BP
Dendrochirus zebra,B
Diagramma pictum,BP
Diaphus brachycephalus,BP
Diaphus schmidti,BP
Diaphus sp,BP
Diaphus sp_1,BP
Diaphus suborbitalis,BP
Diaphus watasei,BP
Diodon holocanthus,BP
Diodon hystrix,B
Diodon liturosus,BP
Diplogrammus xenicus,B
Diploprion bifasciatum,BP
Dipterygonotus balteatus,BP
Drepane punctata,BP
Dysalotus sp,BP
Dysomma anguillare,B
Echelus uropterus,B
Echidna nebulosa,B
Echidna polyzona,B
Ecsenius lineatus,B
Ecsenius namiyei,B
Elagatis bipinnulata,P
Elops machnata,BP
Enchelycore pardalis,B
Encrasicholina devisi,P
Encrasicholina punctifer,P
Engraulis japonicus,P
Enneapterygius etheostomus,B
