Method,Site,Family,Species,Length,Number
DOV,825k,Pomacentridae,Pomacentrus coelestis,6,174
DOV,825k,Pomacentridae,Pomacentrus coelestis,2,818
DOV,825k,Pomacentridae,Stegastes obreptus,10,17
DOV,825k,Balistidae,Sufflamen chrysopterum,12,1
DOV,825k,Pomacentridae,Chromis weberi,10,4
DOV,825k,Pomacentridae,Neopomacentrus cyanomos,8,1
DOV,825k,Labridae,Hemigymnus melapterus,15,1
DOV,825k,Labridae,Stethojulis terina,4,3
DOV,825k,Labridae,Stethojulis terina,6,1
DOV,825k,Labridae,Stethojulis terina,2,7
DOV,825k,Labridae,Stethojulis terina,8,2
DOV,825k,Pomacentridae,Chromis notata,5,10
DOV,825k,Labridae,Cheilinus chlorourus,12,1
DOV,825k,Pomacentridae,Abudefduf sexfasciatus,8,1
DOV,825k,Labridae,Thalassoma lunare,2,2
DOV,825k,Labridae,Thalassoma lunare,4,2
DOV,825k,Labridae,Thalassoma lunare,15,1
DOV,825k,Labridae,Thalassoma lunare,8,1
DOV,825k,Labridae,Thalassoma lutescens,6,1
DOV,825k,Labridae,Halichoeres melanochir,10,3
DOV,825k,Labridae,Thalassoma amblycephalum,6,2
DOV,825k,Labridae,Thalassoma jansenii,12,1
DOV,825k,Labridae,Macropharyngodon negrosensis,4,2
DOV,825k,Fistulariidae,Fistularia commersonii,30,3
DOV,825k,Acanthuridae,Acanthurus dussumieri,6,2
DOV,825k,Blenniidae,Ecsenius namiyei,8,1
DOV,BC,Pomacentridae,Pomacentrus coelestis,3,695
DOV,BC,Pomacentridae,Pomacentrus coelestis,6,588
DOV,BC,Pomacentridae,Stegastes obreptus,10,4
DOV,BC,Chaetodontidae,Chaetodon auriga,10,1
DOV,BC,Scaridae,Scarus ghobban,15,1
DOV,BC,Scaridae,Scarus rivulatus,8,1
DOV,BC,Scaridae,Scarus rivulatus,18,5
DOV,BC,Acanthuridae,Prionurus scalprum,18,1
DOV,BC,Acanthuridae,Prionurus scalprum,15,1
DOV,BC,Acanthuridae,Prionurus scalprum,12,2
DOV,BC,Labridae,Halichoeres melanochir,12,2
DOV,BC,Labridae,Halichoeres melanochir,10,2
DOV,BC,Labridae,Halichoeres melanochir,4,4
DOV,BC,Acanthuridae,Acanthurus xanthopterus,8,2
DOV,BC,Blenniidae,Ecsenius namiyei,7,2
