Date,Site,Code,Speed
20210701,82.5,825k,0.091464319
20210716,Bat cave,BC,0.044501208
20210610,Bitou,BT,0.064138745
20210618,Chaojing,CJ,0.04401399
20210713,Guian harbor,GA,0.02035
20210727,Hepingdao,HPD,0.16385467
20210816,Huapingyu,HPY,0.113341887
20210727,Keelungyu,KLY,0.079386477
20210628,Longdong,LD,0.032469776
20210730,Maoao,MA,0.049557525
20210730,Magang,MG,0.171291873
20210816,Mienhuayu,MHY,0.078013546
20210709,Meiyenshan,MYS,0.078665145
20210816,Pengjiayu,PJY,0.140707285
20210618,Shenao,SA,0.089952766
20210923,Turtle island II,TIN,0.044669565
20210923,Turtle island,TIS,0.102972703
20210811,Waimushan,WMS,0.09154065
20210708,Xiehe,XH,0.022027551
20210812,Xiaoxianglan,XXL,0.172318065
20210727,Yeliu,YL,0.096572917
